creation|82|
scaleout|1|43|200.19.177.102
scaleout|2|93|200.19.177.102
scaleout|3|99|200.19.177.102
scaleout|4|85|200.19.177.102
scaleout|5|89|200.19.177.102
scaleout|6|85|200.19.177.102
scaleout|7|86|200.19.177.102
scaleout|8|92|200.19.177.102
scaleout|9|86|200.19.177.102
scale|9|42|200.19.177.102
scale|8|46|200.19.177.102
scale|7|40|200.19.177.102
scale|6|40|200.19.177.102
scale|5|40|200.19.177.102
scale|4|38|200.19.177.102
scale|3|43|200.19.177.102
scale|2|38|200.19.177.102
scale|1|37|200.19.177.102
