creation|83|
scaleout|1|42|200.19.177.108
scaleout|2|82|200.19.177.108
scaleout|3|89|200.19.177.108
scaleout|4|94|200.19.177.108
scaleout|5|95|200.19.177.108
scaleout|6|90|200.19.177.108
scaleout|7|95|200.19.177.108
scaleout|8|85|200.19.177.108
scaleout|9|91|200.19.177.108
scale|9|41|200.19.177.108
scale|8|46|200.19.177.108
scale|7|40|200.19.177.108
scale|6|39|200.19.177.108
scale|5|43|200.19.177.108
scale|4|38|200.19.177.108
scale|3|39|200.19.177.108
scale|2|43|200.19.177.108
scale|1|37|200.19.177.108
