creation|84|
scaleout|1|42|200.19.177.91
scaleout|2|88|200.19.177.91
scaleout|3|93|200.19.177.91
scaleout|4|89|200.19.177.91
scaleout|5|94|200.19.177.91
scaleout|6|80|200.19.177.91
scaleout|7|91|200.19.177.91
scaleout|8|91|200.19.177.91
scaleout|9|90|200.19.177.91
scale|9|41|200.19.177.91
scale|8|5|200.19.177.91
scale|7|45|200.19.177.91
scale|6|45|200.19.177.91
scale|5|40|200.19.177.91
scale|4|38|200.19.177.91
scale|3|38|200.19.177.91
scale|2|38|200.19.177.91
scale|1|42|200.19.177.91
