creation|82|
scaleout|1|37|200.19.177.96
scaleout|2|93|200.19.177.96
scaleout|3|88|200.19.177.96
scaleout|4|84|200.19.177.96
scaleout|5|85|200.19.177.96
scaleout|6|80|200.19.177.96
scaleout|7|86|200.19.177.96
scaleout|8|86|200.19.177.96
scaleout|9|102|200.19.177.96
scale|9|41|200.19.177.96
scale|8|41|200.19.177.96
scale|7|45|200.19.177.96
scale|6|39|200.19.177.96
scale|5|45|200.19.177.96
scale|4|39|200.19.177.96
scale|3|38|200.19.177.96
scale|2|37|200.19.177.96
scale|1|37|200.19.177.96
