creation|77|
scaleout|1|37|200.19.177.110
scaleout|2|82|200.19.177.110
scaleout|3|94|200.19.177.110
scaleout|4|94|200.19.177.110
scaleout|5|95|200.19.177.110
scaleout|6|90|200.19.177.110
scaleout|7|95|200.19.177.110
scaleout|8|86|200.19.177.110
scaleout|9|92|200.19.177.110
scale|9|41|200.19.177.110
scale|8|41|200.19.177.110
scale|7|40|200.19.177.110
scale|6|45|200.19.177.110
scale|5|39|200.19.177.110
scale|4|39|200.19.177.110
scale|3|43|200.19.177.110
scale|2|39|200.19.177.110
scale|1|37|200.19.177.110
