creation|73|
scaleout|1|42|200.19.177.104
scaleout|2|77|200.19.177.104
scaleout|3|98|200.19.177.104
scaleout|4|94|200.19.177.104
scaleout|5|95|200.19.177.104
scaleout|6|85|200.19.177.104
scaleout|7|95|200.19.177.104
scaleout|8|86|200.19.177.104
scaleout|9|96|200.19.177.104
scale|9|42|200.19.177.104
scale|8|41|200.19.177.104
scale|7|40|200.19.177.104
scale|6|40|200.19.177.104
scale|5|39|200.19.177.104
scale|4|38|200.19.177.104
scale|3|38|200.19.177.104
scale|2|38|200.19.177.104
scale|1|42|200.19.177.104
