creation|77|
scaleout|1|43|200.19.177.103
scaleout|2|93|200.19.177.103
scaleout|3|93|200.19.177.103
scaleout|4|89|200.19.177.103
scaleout|5|99|200.19.177.103
scaleout|6|90|200.19.177.103
scaleout|7|96|200.19.177.103
scaleout|8|92|200.19.177.103
scaleout|9|96|200.19.177.103
scale|9|47|200.19.177.103
scale|8|45|200.19.177.103
scale|7|40|200.19.177.103
scale|6|44|200.19.177.103
scale|5|40|200.19.177.103
scale|4|39|200.19.177.103
scale|3|44|200.19.177.103
scale|2|2|200.19.177.103
scale|1|37|200.19.177.103
