creation|77|
scaleout|1|37|200.19.177.100
scaleout|2|83|200.19.177.100
scaleout|3|93|200.19.177.100
scaleout|4|84|200.19.177.100
scaleout|5|94|200.19.177.100
scaleout|6|90|200.19.177.100
scaleout|7|90|200.19.177.100
scaleout|8|86|200.19.177.100
scaleout|9|86|200.19.177.100
scale|9|41|200.19.177.100
scale|8|40|200.19.177.100
scale|7|40|200.19.177.100
scale|6|45|200.19.177.100
scale|5|39|200.19.177.100
scale|4|38|200.19.177.100
scale|3|38|200.19.177.100
scale|2|43|200.19.177.100
scale|1|37|200.19.177.100
