creation|87|
scaleout|1|37|200.19.177.98
scaleout|2|93|200.19.177.98
scaleout|3|94|200.19.177.98
scaleout|4|94|200.19.177.98
scaleout|5|94|200.19.177.98
scaleout|6|79|200.19.177.98
scaleout|7|86|200.19.177.98
scaleout|8|90|200.19.177.98
scaleout|9|96|200.19.177.98
scale|9|42|200.19.177.98
scale|8|41|200.19.177.98
scale|7|40|200.19.177.98
scale|6|41|200.19.177.98
scale|5|39|200.19.177.98
scale|4|39|200.19.177.98
scale|3|39|200.19.177.98
scale|2|38|200.19.177.98
scale|1|37|200.19.177.98
