creation|88|
scaleout|1|37|200.19.177.99
scaleout|2|93|200.19.177.99
scaleout|3|99|200.19.177.99
scaleout|4|84|200.19.177.99
scaleout|5|94|200.19.177.99
scaleout|6|85|200.19.177.99
scaleout|7|96|200.19.177.99
scaleout|8|95|200.19.177.99
scaleout|9|87|200.19.177.99
scale|9|41|200.19.177.99
scale|8|40|200.19.177.99
scale|7|46|200.19.177.99
scale|6|40|200.19.177.99
scale|5|39|200.19.177.99
scale|4|39|200.19.177.99
scale|3|38|200.19.177.99
scale|2|38|200.19.177.99
scale|1|37|200.19.177.99
